n,N,k,K,Class
"(1, 1)","(0, 0, 0, 1, 0, 1)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 0, 1)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 0, 1)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 0, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 0, 1, 1, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 0, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 0, 1, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(1, 1)","(0, 0, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 0, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 0, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 0, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 1)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 1)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 1)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(0, 1)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(0, 1, 1, 0, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(1, 0, 0, 1, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(1, 0, 1, 0, 1, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(1, 0, 1, 1, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0)","(1, 0, 1, 1, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 0, 0, 1, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 0, 1, 0, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 1, 0, 0, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 0, 1, 1, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 1, 0, 1, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 1, 1, 0, 1)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 1, 1, 1, 0)",iii-ii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(0, 1, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(0, 1, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",iii-iii.2
"(1, 1)","(1, 0, 0, 1, 0, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",iii-iii.2
