n12,m3456,k12,N,M,K,Class
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 0, 1, 0, 1, 0)","(0, 0, 0, 0, 1, 1)",III-iii
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 0, 0, 1)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",VI-iii.6
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",VI-iii.6
"(0, 0)","(1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)",III-iii
"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 1, 0, 1)","(1, 1, 1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)",VI-iii.6
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",VI-iii.6
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 0, 1, 1)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(1, 1, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(1, 1, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(1, 1, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(1, 1, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(0, 0, 0, 1, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(0, 0, 0, 1, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(0, 0, 1, 0, 0, 1)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 0, 1)","(0, 0, 1, 0, 1, 0)",VI-iii.3
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 0)","(1, 1, 1, 1, 0, 0)",III-iii
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 1, 1)",III-iii
"(0, 0)","(0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1, 1, 0, 0, 1)","(1, 1, 1, 1, 0, 0)",VI-iii.6
"(0, 0)","(0, 0, 0, 0)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 1, 1, 0, 0, 1)","(0, 0, 0, 0, 1, 1)",VI-iii.6
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(1, 1, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(1, 1, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(1, 1, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(1, 1, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(0, 0, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(0, 0, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(0, 0, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 1, 1, 1, 1, 0)","(0, 0, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(1, 1, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(1, 1, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(1, 1, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(1, 1, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(0, 0, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(0, 0, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 0, 1, 1, 1)","(0, 0, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(1, 1, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(1, 1, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(1, 1, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(1, 1, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",V-ii.3
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(0, 0, 0, 1, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(0, 0, 0, 1, 1, 0)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(0, 0, 1, 0, 0, 1)",V-iii.2
"(0, 0)","(0, 0, 1, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(1, 0, 1, 1, 1, 0)","(0, 0, 1, 0, 1, 0)",V-iii.2
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.4
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.4
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1, 1, 0)",IV-iii.4
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 1)","(1, 1, 0, 1, 1, 0)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 1)",IV-iii.4
"(0, 0)","(0, 1, 0, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)","(1, 1, 1, 0, 0, 1)",IV-iii.4
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.3
"(0, 0)","(0, 1, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 0)","(1, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.3
