stefan_index,n12,m3456,k12,l3456,N,M,K,L,modular_invariant,failed_constraints,equivalent_to_code_solution
29,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)",True,,38
30,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 1, 0, 0, 0)",True,,52
31,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 1, 0)",True,,51
32,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 1, 0, 0, 0)",True,,52
33,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 1, 0)",True,,51
34,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",True,,24
35,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 1, 0)",True,,42
36,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",True,,47
37,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)",True,,53
38,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 1, 0)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 1, 0)",True,,49
39,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)","(1, 0, 0, 0, 1, 0)","(0, 1, 1, 0, 0, 0)",True,,33
40,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 1)",True,,29
41,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 1, 1, 0, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)",True,,44
42,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",True,,46
43,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)",True,,56
44,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 1, 0)","(1, 1, 0, 0, 0, 0)",True,,55
45,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)",True,,30
46,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)",True,,26
47,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 1, 0, 0)",True,,58
48,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 1, 0)","(1, 0, 0, 0, 0, 1)",True,,50
49,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 1, 0)","(0, 0, 0, 1, 0, 1)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0, 0, 0)",True,,37
50,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)",True,,57
51,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)","(0, 0, 0, 1, 0, 1)",True,,45
52,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 1, 1, 0, 0)",True,,41
