code_solution_index,n12,m3456,k12,l3456,N,M,K,L,mapped_stefan_index
23,"(0, 0)","(1, 1, 1, 1)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 0, 0)",UNMATCHED
24,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",34
25,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",8
26,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 1, 0, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)",46
27,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 0, 0, 1)",11
28,"(1, 0)","(1, 0, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",UNMATCHED
29,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 1)",40
30,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)",45
31,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0, 1, 1)","(0, 0, 0, 0, 1, 1)",UNMATCHED
32,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 0, 1)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 0, 0, 0)",27
33,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 1, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 1)","(0, 1, 0, 0, 1, 0)","(1, 0, 1, 0, 0, 0)",39
34,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1, 1, 0)","(0, 1, 0, 0, 1, 0)",14
35,"(1, 0)","(1, 0, 1, 1)","(1, 1)","(1, 1, 1, 1)","(0, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 1)",24
36,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 1, 0, 0)","(0, 0, 0, 1, 0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",21
37,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 1, 0, 0, 1)","(0, 0, 0, 1, 1, 0)","(0, 0, 0, 0, 1, 1)","(0, 1, 0, 1, 0, 0)",49
38,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)","(0, 1, 0, 0, 1, 0)","(0, 0, 1, 0, 1, 0)",29
